"A8.spc - RawData"
"Wavelength nm."	"Abs."
220.00	3.044
222.00	2.921
224.00	2.760
226.00	2.580
228.00	2.365
230.00	2.131
232.00	1.886
234.00	1.639
236.00	1.402
238.00	1.183
240.00	0.987
242.00	0.822
244.00	0.691
246.00	0.588
248.00	0.506
250.00	0.441
252.00	0.394
254.00	0.360
256.00	0.337
258.00	0.325
260.00	0.317
262.00	0.311
264.00	0.309
266.00	0.308
268.00	0.299
270.00	0.282
272.00	0.262
274.00	0.239
276.00	0.210
278.00	0.176
280.00	0.139
282.00	0.109
284.00	0.090
286.00	0.080
288.00	0.076
290.00	0.075
292.00	0.075
294.00	0.074
296.00	0.073
298.00	0.071
300.00	0.067
302.00	0.063
304.00	0.058
306.00	0.049
308.00	0.041
310.00	0.034
312.00	0.027
314.00	0.021
316.00	0.017
318.00	0.013
320.00	0.011
322.00	0.009
324.00	0.007
326.00	0.007
328.00	0.006
330.00	0.005
332.00	0.005
334.00	0.005
336.00	0.005
338.00	0.004
340.00	0.004
342.00	0.004
344.00	0.004
346.00	0.004
348.00	0.004
350.00	0.003
352.00	0.003
354.00	0.003
356.00	0.003
358.00	0.003
360.00	0.003
362.00	0.003
364.00	0.002
366.00	0.003
368.00	0.003
370.00	0.003
372.00	0.003
374.00	0.003
376.00	0.003
378.00	0.003
380.00	0.003
382.00	0.003
384.00	0.003
386.00	0.003
388.00	0.004
390.00	0.003
392.00	0.003
394.00	0.003
396.00	0.003
398.00	0.003
400.00	0.003
