"B5.spc - RawData"
"Wavelength nm."	"Abs."
220.00	1.792
222.00	1.704
224.00	1.604
226.00	1.494
228.00	1.371
230.00	1.231
232.00	1.087
234.00	0.942
236.00	0.807
238.00	0.681
240.00	0.576
242.00	0.483
244.00	0.409
246.00	0.349
248.00	0.303
250.00	0.267
252.00	0.241
254.00	0.221
256.00	0.208
258.00	0.201
260.00	0.196
262.00	0.193
264.00	0.192
266.00	0.191
268.00	0.184
270.00	0.174
272.00	0.162
274.00	0.146
276.00	0.128
278.00	0.107
280.00	0.084
282.00	0.065
284.00	0.052
286.00	0.045
288.00	0.042
290.00	0.040
292.00	0.039
294.00	0.038
296.00	0.037
298.00	0.036
300.00	0.034
302.00	0.032
304.00	0.032
306.00	0.027
308.00	0.023
310.00	0.021
312.00	0.018
314.00	0.016
316.00	0.014
318.00	0.013
320.00	0.012
322.00	0.011
324.00	0.011
326.00	0.011
328.00	0.011
330.00	0.010
332.00	0.010
334.00	0.010
336.00	0.010
338.00	0.010
340.00	0.009
342.00	0.009
344.00	0.009
346.00	0.010
348.00	0.010
350.00	0.009
352.00	0.009
354.00	0.009
356.00	0.009
358.00	0.009
360.00	0.009
362.00	0.009
364.00	0.007
366.00	0.008
368.00	0.008
370.00	0.008
372.00	0.008
374.00	0.008
376.00	0.008
378.00	0.008
380.00	0.008
382.00	0.008
384.00	0.008
386.00	0.008
388.00	0.008
390.00	0.008
392.00	0.008
394.00	0.008
396.00	0.008
398.00	0.008
400.00	0.008
