"40ppm.spc - RawData"
"Wavelength nm."	"Abs."
220.00	1.284
221.00	1.256
222.00	1.227
223.00	1.198
224.00	1.167
225.00	1.131
226.00	1.093
227.00	1.053
228.00	1.008
229.00	0.963
230.00	0.915
231.00	0.866
232.00	0.816
233.00	0.762
234.00	0.710
235.00	0.660
236.00	0.611
237.00	0.563
238.00	0.518
239.00	0.474
240.00	0.434
241.00	0.397
242.00	0.362
243.00	0.332
244.00	0.305
245.00	0.281
246.00	0.258
247.00	0.239
248.00	0.221
249.00	0.205
250.00	0.191
251.00	0.178
252.00	0.168
253.00	0.159
254.00	0.151
255.00	0.144
256.00	0.138
257.00	0.134
258.00	0.131
259.00	0.128
260.00	0.127
261.00	0.125
262.00	0.123
263.00	0.122
264.00	0.121
265.00	0.121
266.00	0.121
267.00	0.120
268.00	0.119
269.00	0.116
270.00	0.112
271.00	0.108
272.00	0.103
273.00	0.098
274.00	0.093
275.00	0.088
276.00	0.082
277.00	0.074
278.00	0.067
279.00	0.059
280.00	0.050
281.00	0.042
282.00	0.035
283.00	0.028
284.00	0.023
285.00	0.019
286.00	0.016
287.00	0.014
288.00	0.012
289.00	0.011
290.00	0.011
291.00	0.010
292.00	0.010
293.00	0.010
294.00	0.010
295.00	0.010
296.00	0.009
297.00	0.009
298.00	0.009
299.00	0.009
300.00	0.009
301.00	0.008
302.00	0.008
303.00	0.007
304.00	0.007
305.00	0.008
306.00	0.006
307.00	0.005
308.00	0.004
309.00	0.004
310.00	0.003
311.00	0.002
312.00	0.002
313.00	0.001
314.00	0.001
315.00	0.001
316.00	0.000
317.00	-0.000
318.00	-0.000
319.00	-0.000
320.00	-0.001
321.00	-0.001
322.00	-0.001
323.00	-0.002
324.00	-0.002
325.00	-0.002
326.00	-0.002
327.00	-0.002
328.00	-0.001
329.00	-0.002
330.00	-0.001
331.00	-0.001
332.00	-0.001
333.00	-0.001
334.00	-0.002
335.00	-0.001
336.00	-0.002
337.00	-0.002
338.00	-0.002
339.00	-0.002
340.00	-0.002
341.00	-0.002
342.00	-0.002
343.00	-0.002
344.00	-0.002
345.00	-0.002
346.00	-0.002
347.00	-0.002
348.00	-0.002
349.00	-0.003
350.00	-0.002
351.00	-0.002
352.00	-0.002
353.00	-0.002
354.00	-0.002
355.00	-0.002
356.00	-0.002
357.00	-0.002
358.00	-0.002
359.00	-0.002
360.00	-0.001
361.00	-0.002
362.00	-0.002
363.00	-0.002
364.00	-0.003
365.00	-0.001
366.00	-0.001
367.00	-0.001
368.00	-0.002
369.00	-0.001
370.00	-0.001
371.00	-0.001
372.00	-0.001
373.00	-0.002
374.00	-0.002
375.00	-0.002
376.00	-0.002
377.00	-0.002
378.00	-0.002
379.00	-0.002
380.00	-0.002
381.00	-0.002
382.00	-0.002
383.00	-0.002
384.00	-0.002
385.00	-0.002
386.00	-0.002
387.00	-0.002
388.00	-0.002
389.00	-0.002
390.00	-0.002
391.00	-0.002
392.00	-0.002
393.00	-0.002
394.00	-0.002
395.00	-0.002
396.00	-0.002
397.00	-0.002
398.00	-0.002
399.00	-0.002
400.00	-0.002
